sid,mm,fm,ac,eebm,bswa,mwsm,mana,pom,hrm,esm,adpjm,erem,sta,stb,ines,care,cala,calb,ec
SD1011025,84,72,60,84,65,60,55,78,86,64,86,60,69,62,85,88,60,50,76
SD1011026,60,60,60,87,85,86,65,34,13,65,63,56,67,64,80,74,79,77,69
SD1011027,82,72,60,99,87,67,65,60,76,61,72,51,66,65,81,76,65,60,71
SD1011028,85,68,67,74,75,74,70,60,84,54,66,53,70,50,70,60,60,45,71
SD1011029,93,87,93,99,69,80,72,98,90,88,94,72,76,75,90,100,69,81,78
SD1011030,88,87,90,99,91,91,69,98,94,82,83,69,80,91,85,94,84,77,83
SD1011031,78,65,60,73,30,39,63,31,84,80,85,61,63,50,82,81,61,50,67
SD1011032,91,84,89,99,96,92,69,92,97,80,87,70,71,88,85,79,74,75,80
SD1011033,86,66,60,79,31,60,69,32,86,54,75,50,41,32,76,60,53,44,60
SD1011034,91,85,99,99,100,90,76,98,95,96,85,60,85,95,90,100,79,83,89
SD1011035,84,75,60,99,76,60,65,70,75,56,68,63,52,60,85,62,65,68,65
SD1011036,80,61,60,88,31,17,57,7,77,48,68,55,51,38,72,0,62,47,60
SD1011037,NA,NA,24,NA,45,10,66,NA,NA,NA,NA,NA,25,33,NA,NA,62,25,62
SD1011038,76,60,67,85,54,33,71,60,64,51,74,57,47,50,60,60,60,55,67
SD1011039,74,60,62,61,68,60,67,60,74,57,60,53,68,45,63,70,65,45,65
SD1011040,72,62,75,87,87,71,70,60,74,62,76,54,67,74,83,0,68,60,90
SD1011041,67,60,71,61,53,49,66,60,60,50,66,53,52,31,68,60,53,50,63
SD1011042,NA,NA,70,NA,74,71,60,NA,NA,NA,NA,NA,68,64,NA,NA,65,64,69
SD1011043,79,60,71,99,55,38,72,32,60,51,72,52,54,61,60,60,60,61,66
SD1011044,83,77,85,99,71,87,70,72,82,62,71,69,75,80,82,96,66,76,79
SD1011045,90,81,66,99,75,60,67,73,98,80,75,63,73,75,84,79,64,61,80
SD1011046,76,71,74,96,83,66,44,84,93,64,65,60,68,82,80,100,60,61,71
SD1011048,67,67,76,97,89,37,55,68,60,65,79,64,62,61,84,64,60,68,78
SD1011049,86,64,66,99,81,75,80,71,80,70,79,61,67,71,92,94,60,60,80
SD1011050,85,83,83,99,94,83,74,84,86,78,88,69,74,91,95,76,84,64,89
SD1011051,84,84,96,99,89,85,70,91,88,75,87,63,85,93,87,78,73,67,90
SD1011052,89,75,74,99,86,82,75,71,92,65,87,61,79,73,88,78,70,60,80
SD1011053,88,87,93,99,81,89,72,77,89,77,76,66,80,73,77,79,66,65,89
SD1011054,93,69,75,99,94,95,73,76,94,82,92,65,71,61,90,96,64,60,69
SD1011056,70,60,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1011057,86,96,NA,NA,NA,NA,NA,76,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1011058,85,96,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1011059,84,96,NA,NA,NA,NA,NA,80,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1011060,90,85,93,99,NA,NA,NA,81,94,80,83,66,66,49,84,80,70,60,NA
SD1011061,84,0,NA,99,NA,17,NA,60,60,85,84,75,NA,NA,80,0,NA,NA,NA
SD1011062,NA,26,NA,83,NA,60,NA,78,74,54,93,60,NA,NA,82,76,NA,5,NA
SD1011063,69,72,67,95,NA,75,70,68,79,55,70,67,45,NA,81,92,60,NA,NA
SD1011064,NA,NA,60,NA,NA,NA,NA,NA,NA,65,NA,80,NA,NA,NA,66,NA,NA,NA
SD1011065,NA,NA,30,NA,83,39,64,NA,NA,NA,NA,NA,91,73,NA,NA,88,84,82
SD1011066,NA,NA,28,NA,60,12,29,NA,NA,NA,NA,NA,66,15,NA,NA,74,7,82
SD1011067,80,65,60,99,62,72,69,66,91,65,87,61,70,50,83,91,86,76,69
SD1011068,67,51,66,98,84,83,63,29,88,62,74,63,66,34,86,28,74,60,72
SD1011069,81,66,63,99,77,76,65,90,86,62,89,62,75,74,73,80,80,77,70
SD1011070,87,81,99,99,82,86,91,98,99,70,96,72,93,98,87,96,88,87,99
SD1011071,82,63,71,99,67,81,81,93,90,54,97,67,74,92,91,87,69,83,81
SD1011072,81,72,76,99,78,42,81,79,90,70,94,69,78,85,82,85,80,73,82
SD1011073,65,50,65,83,79,78,76,60,64,70,78,60,81,87,86,85,82,77,85
SD1011074,72,50,46,61,51,47,79,15,88,60,60,53,48,NA,70,72,64,60,71
SD1011075,78,73,70,99,82,82,87,74,91,87,87,73,81,65,90,95,77,84,90
SD1011076,65,63,80,99,69,78,68,60,91,53,85,62,71,50,83,86,63,73,64
SD1011077,73,66,81,99,63,79,68,60,86,52,81,60,39,32,83,82,73,60,73
SD1011078,77,80,49,99,71,89,84,94,95,73,94,71,79,87,81,93,84,86,93
SD1011079,79,70,72,98,66,77,84,98,82,76,90,68,66,71,77,98,71,62,80
SD1011080,71,66,64,99,80,73,82,91,89,64,90,69,84,91,85,82,73,63,68
SD1011081,82,81,79,99,83,90,84,93,96,80,90,64,83,86,75,98,89,93,80
SD1011082,61,50,37,93,42,60,66,33,60,75,60,52,31,34,62,67,69,60,66
SD1011083,81,64,62,99,83,84,78,72,86,76,87,74,82,91,84,86,81,68,75
SD1011084,74,51,65,96,75,69,78,69,71,65,73,70,79,71,95,91,67,69,76
SD1011085,80,67,77,99,72,79,82,60,85,67,81,64,70,82,86,96,75,65,79
SD1011086,84,75,82,99,84,87,86,96,94,84,95,71,71,87,81,91,70,82,78
SD1011087,71,62,62,99,85,83,77,83,90,60,85,63,85,96,77,84,76,75,73
SD1011088,75,70,27,83,61,12,72,60,74,62,74,50,35,60,75,10,44,60,74
SD1011089,73,70,42,77,67,60,66,36,72,60,65,53,50,33,63,10,73,60,69
SD1011090,81,72,82,99,91,92,82,98,92,84,97,65,82,98,88,94,83,92,85
SD1011091,66,30,82,74,75,20,83,64,20,NA,NA,NA,68,50,NA,NA,82,67,54
SD1011092,83,71,75,99,74,63,75,69,89,60,80,65,63,50,82,78,64,63,62
SD1011093,65,61,50,99,40,60,81,34,76,61,60,63,50,64,62,98,66,63,71
SD1011094,71,62,70,99,84,68,74,83,85,66,93,67,61,68,92,91,66,61,80
SD1011095,61,67,73,99,74,79,71,60,83,70,86,60,75,49,85,83,60,60,61
SD1011096,78,70,61,99,27,28,75,69,86,77,62,55,50,18,60,88,72,60,39
SD1011097,86,83,32,99,37,81,57,68,75,NA,NA,72,30,0,91,NA,51,25,30
SD1011098,61,50,30,78,43,60,64,17,69,55,62,55,45,29,66,60,45,60,60
SD1011099,78,70,67,99,81,69,79,65,85,67,73,64,72,84,80,98,68,69,76
SD1011100,60,NA,44,1,61,36,41,3,NA,NA,NA,NA,60,28,NA,NA,52,60,44
SD1011101,NA,51,28,98,60,49,60,60,78,60,73,46,50,28,72,0,60,27,66
SD1011102,74,60,52,99,80,85,72,62,81,60,92,60,66,66,82,95,71,62,68
SD1011103,66,62,37,94,63,63,64,60,88,60,78,62,50,76,65,79,60,60,62
SD1011104,82,76,68,99,85,66,85,94,72,80,92,62,90,64,90,96,81,71,90
SD1011105,81,91,82,99,82,92,83,82,96,82,99,75,72,76,88,90,82,87,87
SD1011106,80,77,64,99,76,80,77,79,98,70,87,68,78,95,84,87,86,85,65
SD1011107,73,64,63,99,65,60,71,72,81,70,72,60,80,87,66,89,81,80,87
SD1011108,68,60,65,99,64,62,75,60,91,65,62,63,72,65,71,60,64,74,71
SD1011109,74,70,61,99,73,82,66,98,84,60,92,62,72,79,70,100,69,78,79
SD1011110,75,66,60,99,66,46,76,60,88,62,82,60,50,64,60,83,73,88,74
SD1011111,66,NA,25,60,31,60,62,7,NA,NA,NA,NA,17,22,NA,NA,49,60,70
SD1011112,68,60,74,99,69,79,73,60,85,70,82,60,84,92,70,93,85,86,78
SD1011113,85,85,83,99,72,81,81,98,97,82,95,73,82,94,78,100,87,100,93
SD1011114,67,60,73,99,74,76,74,68,82,65,89,61,68,62,86,91,68,65,79
SD1011115,8,18,31,61,33,44,36,60,60,32,62,52,27,40,60,0,65,60,61
SD1011116,69,71,82,99,87,83,79,71,84,65,95,60,85,85,77,89,86,64,83
SD1011117,71,70,60,88,60,60,71,60,83,54,90,65,63,44,83,0,77,60,66
SD1011118,75,74,73,99,84,86,89,91,91,71,83,60,88,98,80,29,83,79,81
SD1011119,86,93,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1011120,NA,60,NA,NA,NA,NA,NA,NA,79,55,87,70,64,NA,69,NA,NA,NA,NA
SD1011121,NA,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SD1011227,NA,70,NA,99,NA,NA,NA,NA,74,NA,NA,73,NA,72,75,NA,68,60,75
SD1011346,87,92,NA,99,NA,NA,NA,93,92,76,74,63,NA,87,78,78,93,81,82
SD1011773,77,60,90,80,NA,73,79,36,71,51,76,48,19,NA,75,78,65,50,NA
